,ind_code,discription
345,NY.GDP.MKTP.KN,GDP (constant LCU)
346,NY.GDP.MKTP.CN,GDP (current LCU)
347,NY.GDP.FCST.KN,Gross value added at basic prices (GVA) (constant LCU)
348,NY.GDP.DISC.KN,Discrepancy in expenditure estimate of GDP (constant LCU)
349,NY.GDP.DEFL.KD.ZG.AD,"Inflation, GDP deflator: linked series (annual %)"
350,NY.ADJ.SVNX.GN.ZS,"Adjusted net savings, excluding particulate emission damage (% of GNI)"
351,NY.ADJ.NNTY.PC.KD.ZG,Adjusted net national income per capita (annual % growth)
352,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2015 US$)
353,NY.ADJ.ICTR.GN.ZS,Adjusted savings: gross savings (% of GNI)
354,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
355,NY.ADJ.DKAP.GN.ZS,Adjusted savings: consumption of fixed capital (% of GNI)
356,NY.ADJ.DCO2.GN.ZS,Adjusted savings: carbon dioxide damage (% of GNI)
357,NV.SRV.TOTL.ZS,"Services, value added (% of GDP)"
358,NV.SRV.TOTL.CN,"Services, value added (current LCU)"
359,NV.MNF.TECH.ZS.UN,Medium and high-tech manufacturing value added (% manufacturing value added)
360,NV.MNF.CHEM.ZS.UN,Chemicals (% of value added in manufacturing)
361,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)"
362,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)"
363,IC.IMP.TMDC,"Time to import, documentary compliance (hours)"
364,IC.GOV.DURS.ZS,Time spent dealing with the requirements of government regulations (% of senior management time)
365,IC.FRM.OUTG.ZS,Value lost due to electrical outages (% of sales for affected firms)
366,IC.FRM.FEMO.ZS,Firms with female participation in ownership (% of firms)
367,IC.FRM.CORR.ZS,Informal payments to public officials (% of firms)
368,IC.FRM.BKWC.ZS,Firms using banks to finance working capital (% of firms)
369,IC.EXP.CSBC.CD,"Cost to export, border compliance (US$)"
370,IC.ELC.DURS,Time to obtain an electrical connection (days)
371,IC.CRD.INFO.XQ,Depth of credit information index (0=low to 8=high)
372,IC.BUS.DISC.XQ,Business extent of disclosure index (0=less disclosure to 10=more disclosure)
373,HD.HCI.OVRL.UB,"Human capital index (HCI), upper bound (scale 0-1)"
374,HD.HCI.OVRL.LB,"Human capital index (HCI), lower bound (scale 0-1)"
375,GE.STD.ERR,Government Effectiveness: Standard Error
376,GE.NO.SRC,Government Effectiveness: Number of Sources
377,GC.XPN.TOTL.GD.ZS,Expense (% of GDP)
378,GC.XPN.INTP.ZS,Interest payments (% of expense)
379,GC.XPN.GSRV.CN,Goods and services expense (current LCU)
380,GC.TAX.YPKG.RV.ZS,"Taxes on income, profits and capital gains (% of revenue)"
381,GC.TAX.OTHR.RV.ZS,Other taxes (% of revenue)
382,GC.TAX.IMPT.ZS,Customs and other import duties (% of tax revenue)
383,GC.TAX.GSRV.CN,Taxes on goods and services (current LCU)
384,GC.REV.XGRT.CN,"Revenue, excluding grants (current LCU)"
385,GC.REV.GOTR.CN,Grants and other revenue (current LCU)
386,GC.NFN.TOTL.CN,Net investment in nonfinancial assets (current LCU)
387,GC.DOD.TOTL.CN,"Central government debt, total (current LCU)"
388,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
389,FX.OWN.TOTL.OL.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)"
390,FX.OWN.TOTL.40.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)"
391,FS.AST.CGOV.GD.ZS,"Claims on central government, etc. (% GDP)"
392,FR.INR.LEND,Lending interest rate (%)
393,FP.CPI.TOTL,Consumer price index (2010 = 100)
394,FM.LBL.BMNY.CN,Broad money (current LCU)
395,FM.AST.DOMS.CN,Net domestic credit (current LCU)
396,FI.RES.TOTL.MO,Total reserves in months of imports
397,FD.AST.PRVT.GD.ZS,Domestic credit to private sector by banks (% of GDP)
398,FB.BNK.CAPA.ZS,Bank capital to assets ratio (%)
399,ER.MRN.PTMR.ZS,Marine protected areas (% of territorial waters)
400,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)"
401,ER.H2O.FWDM.ZS,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)"
402,ER.FSH.CAPT.MT,Capture fisheries production (metric tons)
403,EN.URB.LCTY.UR.ZS,Population in the largest city (% of urban population)
404,EN.POP.EL5M.UR.ZS,Urban population living in areas where elevation is below 5 meters (% of total population)
405,EN.HPT.THRD.NO,"Plant species (higher), threatened"
406,EN.GHG.N2O.TR.MT.CE.AR5,Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)
407,EN.GHG.N2O.IC.MT.CE.AR5,Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e)
408,EN.GHG.FGAS.IP.MT.CE.AR5,F-gases emissions from Industrial Processes (Mt CO2e)
409,EN.GHG.CO2.RT.GDP.PP.KD,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)
410,EN.GHG.CO2.MT.CE.AR5,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)
411,EN.GHG.CO2.LU.FL.MT.CE.AR5,Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e)
412,EN.GHG.CO2.FE.MT.CE.AR5,Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)
413,EN.GHG.CH4.WA.MT.CE.AR5,Methane (CH4) emissions from Waste (Mt CO2e)
414,DT.NFL.RDBC.CD,"Net financial flows, RDB concessional (NFL, current US$)"
415,DT.NFL.PNGB.CD,"PNG, bonds (NFL, current US$)"
416,DT.NFL.OFFT.CD,"PPG, official creditors (NFL, US$)"
417,DT.NFL.MIDA.CD,"Net financial flows, IDA (NFL, current US$)"
418,DT.NFL.ILOG.CD,"Net official flows from UN agencies, ILO (current US$)"
419,DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)"
420,DT.DOD.PVLX.GN.ZS,Present value of external debt (% of GNI)
421,DT.DOD.MIDA.CD,"PPG, IDA (DOD, current US$)"
422,DT.DOD.DSTC.IR.ZS,Short-term debt (% of total reserves)
423,DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)"
424,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2021 US$)"
425,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)"
426,DC.DAC.SVNL.CD,"Net bilateral aid flows from DAC donors, Slovenia (current US$)"
427,DC.DAC.NZLL.CD,"Net bilateral aid flows from DAC donors, New Zealand (current US$)"
428,DC.DAC.LTUL.CD,"Net bilateral aid flows from DAC donors, Lithuania (current US$)"
429,DC.DAC.ISLL.CD,"Net bilateral aid flows from DAC donors, Iceland (current US$)"
430,DC.DAC.GBRL.CD,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)"
431,DC.DAC.ESPL.CD,"Net bilateral aid flows from DAC donors, Spain (current US$)"
432,DC.DAC.CHEL.CD,"Net bilateral aid flows from DAC donors, Switzerland (current US$)"
433,DC.DAC.AUTL.CD,"Net bilateral aid flows from DAC donors, Austria (current US$)"
434,CM.MKT.TRAD.CD,"Stocks traded, total value (current US$)"
435,CM.MKT.INDX.ZG,S&P Global Equity Indices (annual % change)
436,VC.IHR.PSRC.P5,"Intentional homicides (per 100,000 people)"
437,VC.IDP.NWDS,"Internally displaced persons, new displacement associated with disasters (number of cases)"
438,VA.PER.RNK.UPPER,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval"
439,VA.EST,Voice and Accountability: Estimate
440,TX.VAL.TECH.CD,High-technology exports (current US$)
441,TX.VAL.MRCH.WR.ZS,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)
442,TX.VAL.MRCH.R5.ZS,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)
443,TX.VAL.MRCH.R1.ZS,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)
444,TX.VAL.MRCH.AL.ZS,Merchandise exports to economies in the Arab World (% of total merchandise exports)
445,TX.VAL.ICTG.ZS.UN,ICT goods exports (% of total goods exports)
446,TX.UVI.MRCH.XD.WD,Export unit value index (2015 = 100)
447,TM.VAL.TRVL.ZS.WT,Travel services (% of commercial service imports)
448,TM.VAL.MRCH.XD.WD,Import value index (2015 = 100)
449,TM.VAL.MRCH.R6.ZS,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)
450,TM.VAL.MRCH.R2.ZS,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)
451,TM.VAL.MRCH.CD.WT,Merchandise imports (current US$)
452,TM.VAL.INSF.ZS.WT,Insurance and financial services (% of commercial service imports)
453,TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports)
454,TM.TAX.TCOM.SR.ZS,"Share of tariff lines with specific rates, primary products (%)"
455,TM.TAX.TCOM.BR.ZS,"Bound rate, simple mean, primary products (%)"
456,TM.TAX.MRCH.SR.ZS,"Share of tariff lines with specific rates, all products (%)"
457,TM.TAX.MRCH.BR.ZS,"Bound rate, simple mean, all products (%)"
458,TM.TAX.MANF.SR.ZS,"Share of tariff lines with specific rates, manufactured products (%)"
459,TM.TAX.MANF.BR.ZS,"Bound rate, simple mean, manufactured products (%)"
460,ST.INT.XPND.MP.ZS,"International tourism, expenditures (% of total imports)"
461,ST.INT.TRNX.CD,"International tourism, expenditures for passenger transport items (current US$)"
462,ST.INT.DPRT,"International tourism, number of departures"
463,SP.URB.TOTL,Urban population
464,SP.RUR.TOTL,Rural population
465,SP.REG.BRTH.RU.ZS,"Completeness of birth registration, rural (%)"
466,SP.POP.TOTL.MA.IN,"Population, male"
467,SP.POP.TECH.RD.P6,Technicians in R&D (per million people)
468,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
469,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)"
470,SP.POP.7074.FE.5Y,"Population ages 70-74, female (% of female population)"
471,SP.POP.65UP.MA.IN,"Population ages 65 and above, male"
472,SP.POP.6569.FE.5Y,"Population ages 65-69, female (% of female population)"
473,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)"
474,SP.POP.4549.FE.5Y,"Population ages 45-49, female (% of female population)"
475,SP.POP.3539.FE.5Y,"Population ages 35-39, female (% of female population)"
476,SP.POP.2529.FE.5Y,"Population ages 25-29, female (% of female population)"
477,SP.POP.1564.TO,"Population ages 15-64, total"
478,SP.POP.1564.FE.IN,"Population ages 15-64, female"
479,SP.POP.1014.FE.5Y,"Population ages 10-14, female (% of female population)"
480,SP.POP.0014.TO,"Population ages 0-14, total"
481,SP.POP.0014.FE.IN,"Population ages 0-14, female"
482,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24)
483,SP.DYN.TO65.MA.ZS,"Survival to age 65, male (% of cohort)"
484,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)"
485,SP.DYN.IMRT.FE.IN,"Mortality rate, infant, female (per 1,000 live births)"
486,SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
487,SN.ITK.VITA.ZS,Vitamin A supplementation coverage rate (% of children ages 6-59 months)
488,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population)
489,SM.POP.REFG,Refugee population by country or territory of asylum
490,SL.WAG.0714.FE.ZS,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)"
491,SL.UEM.TOTL.MA.NE.ZS,"Unemployment, male (% of male labor force) (national estimate)"
492,SL.UEM.NEET.ME.ZS,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)"
493,PX.REX.REER,Real effective exchange rate index (2010 = 100)
494,PV.PER.RNK,Political Stability and Absence of Violence/Terrorism: Percentile Rank
495,per_si_allsi.cov_q4_tot,Coverage of social insurance programs in 4th quintile (% of population)
496,per_si_allsi.cov_pop_tot,Coverage of social insurance programs (% of population)
497,per_sa_allsa.cov_q4_tot,Coverage of social safety net programs in 4th quintile (% of population)
498,per_sa_allsa.cov_pop_tot,Coverage of social safety net programs (% of population)
499,per_lm_alllm.cov_q4_tot,Coverage of unemployment benefits and ALMP in 4th quintile (% of population)
500,per_lm_alllm.cov_pop_tot,Coverage of unemployment benefits and ALMP (% of population)
501,per_allsp.ben_q1_tot,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)
502,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)"
503,NY.TRF.NCTR.KN,Net secondary income (Net current transfers from abroad) (constant LCU)
504,NY.TAX.NIND.CN,Taxes less subsidies on products (current LCU)
505,NY.GSR.NFCY.CD,Net primary income (Net income from abroad) (current US$)
506,NY.GNS.ICTR.CD,Gross savings (current US$)
507,NY.GNP.PCAP.KD.ZG,GNI per capita growth (annual %)
508,NY.GNP.MKTP.PP.KD,"GNI, PPP (constant 2021 international $)"
509,NY.GNP.MKTP.KD,GNI (constant 2015 US$)
510,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)"
511,NY.GDS.TOTL.CD,Gross domestic savings (current US$)
512,NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)"
513,NY.GDP.PCAP.CN,GDP per capita (current LCU)
514,NY.GDP.MKTP.PP.CD,"GDP, PPP (current international $)"
515,NY.GDP.MKTP.CN.AD,GDP: linked series (current LCU)
516,NY.GDP.FRST.RT.ZS,Forest rents (% of GDP)
517,NY.GDP.FCST.CD,Gross value added at basic prices (GVA) (current US$)
518,NY.GDP.DEFL.ZS,GDP deflator (base year varies by country)
519,NY.EXP.CAPM.KN,Exports as a capacity to import (constant LCU)
520,NY.ADJ.SVNG.CD,"Adjusted net savings, including particulate emission damage (current US$)"
521,NY.ADJ.NNTY.KD.ZG,Adjusted net national income (annual % growth)
522,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$)
523,NY.ADJ.DPEM.CD,Adjusted savings: particulate emission damage (current US$)
524,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
525,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
526,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$)
527,NV.SRV.TOTL.KD,"Services, value added (constant 2015 US$)"
528,NV.MNF.TXTL.ZS.UN,Textiles and clothing (% of value added in manufacturing)
529,NV.MNF.FBTO.ZS.UN,"Food, beverages and tobacco (% of value added in manufacturing)"
530,NV.IND.TOTL.KD.ZG,"Industry (including construction), value added (annual % growth)"
531,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)"
532,NV.IND.MANF.CN,"Manufacturing, value added (current LCU)"
533,NV.FSM.TOTL.CN,Financial intermediary services indirectly Measured (FISIM) (current LCU)
534,NV.AGR.TOTL.KD,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
535,NE.TRD.GNFS.ZS,Trade (% of GDP)
536,NE.RSB.GNFS.CD,External balance on goods and services (current US$)
537,NE.IMP.GNFS.KD,Imports of goods and services (constant 2015 US$)
538,NE.GDI.TOTL.KN,Gross capital formation (constant LCU)
539,NE.GDI.TOTL.CD,Gross capital formation (current US$)
540,NE.GDI.FTOT.ZS,Gross fixed capital formation (% of GDP)
541,NE.GDI.FTOT.CN,Gross fixed capital formation (current LCU)
542,IE.PPI.ICTI.CD,Investment in ICT with private participation (current US$)
543,IC.TAX.TOTL.CP.ZS,Total tax and contribution rate (% of profit)
544,IC.TAX.METG,Number of visits or required meetings with tax officials (average for affected firms)
545,IC.REG.PROC.MA,"Start-up procedures to register a business, male (number)"
546,IC.REG.DURS.FE,"Time required to start a business, female (days)"
547,IC.REG.COST.PC.FE.ZS,"Cost of business start-up procedures, female (% of GNI per capita)"
548,IC.LGL.CRED.XQ,Strength of legal rights index (0=weak to 12=strong)
549,IC.IMP.CSDC.CD,"Cost to import, documentary compliance (US$)"
550,IC.FRM.THEV.ZS,Firms experiencing losses due to theft and vandalism (% of firms)
551,IC.FRM.INFM.ZS,Firms that do not report all sales for tax purposes (% of firms)
552,IC.FRM.DURS,Time required to obtain an operating license (days)
553,IC.FRM.BRIB.ZS,Bribery incidence (% of firms experiencing at least one bribe payment request)
554,IC.EXP.TMBC,"Time to export, border compliance (hours)"
555,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (% of firms)
556,IC.CRD.PUBL.ZS,Public credit registry coverage (% of adults)
557,IC.BUS.NDNS.ZS,"New business density (new registrations per 1,000 people ages 15-64)"
558,HD.HCI.OVRL.UB.MA,"Human capital index (HCI), male, upper bound (scale 0-1)"
559,HD.HCI.OVRL.LB.MA,"Human capital index (HCI), male, lower bound (scale 0-1)"
560,HD.HCI.OVRL,Human capital index (HCI) (scale 0-1)
561,GE.PER.RNK.LOWER,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval"
562,GC.XPN.TRFT.ZS,Subsidies and other transfers (% of expense)
563,GC.XPN.OTHR.ZS,Other expense (% of expense)
564,GC.XPN.INTP.CN,Interest payments (current LCU)
565,GC.XPN.COMP.CN,Compensation of employees (current LCU)
566,GC.TAX.TOTL.GD.ZS,Tax revenue (% of GDP)
567,GC.TAX.INTT.RV.ZS,Taxes on international trade (% of revenue)
568,GC.TAX.GSRV.VA.ZS,Taxes on goods and services (% value added of industry and services)
569,GC.TAX.EXPT.CN,Taxes on exports (current LCU)
570,GC.REV.SOCL.CN,Social contributions (current LCU)
571,GC.NLD.TOTL.CN,Net lending (+) / net borrowing (-) (current LCU)
572,GC.LBL.TOTL.CN,"Net incurrence of liabilities, total (current LCU)"
573,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU)
574,FX.OWN.TOTL.SO.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)"
575,FX.OWN.TOTL.FE.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)"
576,FS.AST.DOMS.GD.ZS,Domestic credit provided by financial sector (% of GDP)
577,FR.INR.RINR,Real interest rate (%)
578,FP.WPI.TOTL,Wholesale price index (2010 = 100)
579,FM.LBL.BMNY.IR.ZS,Broad money to total reserves ratio
580,FM.AST.PRVT.GD.ZS,Monetary Sector credit to private sector (% GDP)
581,FM.AST.CGOV.ZG.M3,Claims on central government (annual growth as % of broad money)
582,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)"
583,FB.CBK.BRWR.P3,"Borrowers from commercial banks (per 1,000 adults)"
584,FB.AST.NPER.ZS,Bank nonperforming loans to total gross loans (%)
585,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters)
586,ER.H2O.FWST.ZS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
587,ER.GDP.FWTL.M3.KD,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
588,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population)
589,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population)
590,EN.POP.DNST,Population density (people per sq. km of land area)
591,EN.GHG.N2O.ZG.AR5,Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990)
592,EN.GHG.N2O.MT.CE.AR5,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)
593,EN.GHG.N2O.BU.MT.CE.AR5,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)
594,EN.GHG.CO2.WA.MT.CE.AR5,Carbon dioxide (CO2) emissions from Waste (Mt CO2e)
595,EN.GHG.CO2.PI.MT.CE.AR5,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)
596,EN.GHG.CO2.LU.OL.MT.CE.AR5,Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e)
597,DC.DAC.DEUL.CD,"Net bilateral aid flows from DAC donors, Germany (current US$)"
598,DC.DAC.CANL.CD,"Net bilateral aid flows from DAC donors, Canada (current US$)"
599,CM.MKT.TRNR,"Stocks traded, turnover ratio of domestic shares (%)"
600,CM.MKT.LCAP.GD.ZS,Market capitalization of listed domestic companies (% of GDP)
601,CC.PER.RNK.UPPER,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval"
602,CC.EST,Control of Corruption: Estimate
603,BX.TRF.CURR.CD,"Secondary income receipts (BoP, current US$)"
604,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)"
605,BX.GSR.NFSV.CD,"Service exports (BoP, current US$)"
606,BX.GSR.FCTY.CD,"Primary income receipts (BoP, current US$)"
607,BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)"
608,BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)"
609,BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)"
610,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP)
611,BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)"
612,BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)"
613,BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)"
614,BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP)
615,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100)
616,AG.LND.TOTL.RU.K2,Rural land area (sq. km)
617,AG.LND.FRST.ZS,Forest area (% of land area)
618,AG.LND.EL5M.UR.K2,Urban land area where elevation is below 5 meters (sq. km)
619,AG.LND.CREL.HA,Land under cereal production (hectares)
620,AG.LND.AGRI.ZS,Agricultural land (% of land area)
621,SM.POP.TOTL,"International migrant stock, total"
622,SL.WAG.0714.ZS,"Children in employment, wage workers (% of children in employment, ages 7-14)"
623,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)"
624,SL.UEM.TOTL.FE.NE.ZS,"Unemployment, female (% of female labor force) (national estimate)"
625,SL.UEM.NEET.MA.ME.ZS,"Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)"
626,SL.UEM.INTM.MA.ZS,"Unemployment with intermediate education, male (% of male labor force with intermediate education)"
627,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)"
628,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)"
629,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)"
630,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)"
631,SL.TLF.INTM.MA.ZS,"Labor force with intermediate education, male (% of male working-age population with intermediate education)"
632,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"
633,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)"
634,SL.TLF.BASC.FE.ZS,"Labor force with basic education, female (% of female working-age population with basic education)"
635,SL.TLF.ACTI.ZS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"
636,SL.TLF.ACTI.1524.NE.ZS,"Labor force participation rate for ages 15-24, total (%) (national estimate)"
637,SL.TLF.ACTI.1524.FE.NE.ZS,"Labor force participation rate for ages 15-24, female (%) (national estimate)"
638,SL.TLF.0714.WK.MA.ZS,"Children in employment, work only, male (% of male children in employment, ages 7-14)"
639,SL.TLF.0714.SW.ZS,"Children in employment, study and work (% of children in employment, ages 7-14)"
640,SL.TLF.0714.SW.FE.ZS,"Children in employment, study and work, female (% of female children in employment, ages 7-14)"
641,SL.SRV.EMPL.ZS,Employment in services (% of total employment) (modeled ILO estimate)
642,SL.SRV.0714.MA.ZS,"Child employment in services, male (% of male economically active children ages 7-14)"
643,SL.SLF.0714.FE.ZS,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)"
644,SL.IND.EMPL.ZS,Employment in industry (% of total employment) (modeled ILO estimate)
645,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)"
646,SL.FAM.0714.MA.ZS,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)"
647,SL.EMP.WORK.FE.ZS,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)"
648,SL.EMP.TOTL.SP.ZS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)"
649,SL.EMP.TOTL.SP.FE.ZS,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)"
650,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)"
651,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)"
652,SL.EMP.1524.SP.MA.NE.ZS,"Employment to population ratio, ages 15-24, male (%) (national estimate)"
653,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)"
654,SL.AGR.0714.FE.ZS,"Child employment in agriculture, female (% of female economically active children ages 7-14)"
655,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"
656,SI.POV.UMIC.GP,Poverty gap at $6.85 a day (2017 PPP) (%)
657,SI.POV.MPWB,Multidimensional poverty headcount ratio (World Bank) (% of population)
658,SI.POV.GINI,Gini index
659,SI.DST.FRST.10,Income share held by lowest 10%
660,SI.DST.04TH.20,Income share held by fourth 20%
661,SH.XPD.PVTD.PC.CD,Domestic private health expenditure per capita (current US$)
662,SH.XPD.OOPC.CH.ZS,Out-of-pocket expenditure (% of current health expenditure)
663,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP)
664,SH.XPD.EHEX.CH.ZS,External health expenditure (% of current health expenditure)
665,SH.VAC.TTNS.ZS,Newborns protected against tetanus (%)
666,SH.UHC.SRVS.CV.XD,UHC service coverage index
667,SH.UHC.NOP2.ZS,Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
668,SH.UHC.FBP1.ZS,Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
669,SH.SVR.WAST.ZS,"Prevalence of severe wasting, weight for height (% of children under 5)"
670,RQ.PER.RNK.LOWER,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval"
671,RL.STD.ERR,Rule of Law: Standard Error
672,RL.NO.SRC,Rule of Law: Number of Sources
673,PV.PER.RNK.UPPER,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval"
674,PV.EST,Political Stability and Absence of Violence/Terrorism: Estimate
675,per_si_allsi.cov_q2_tot,Coverage of social insurance programs in 2nd quintile (% of population)
676,per_si_allsi.adq_pop_tot,Adequacy of social insurance programs (% of total welfare of beneficiary households)
677,per_sa_allsa.cov_q2_tot,Coverage of social safety net programs in 2nd quintile (% of population)
678,per_sa_allsa.adq_pop_tot,Adequacy of social safety net programs (% of total welfare of beneficiary households)
679,per_lm_alllm.cov_q2_tot,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population)
680,per_lm_alllm.adq_pop_tot,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)
681,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)"
682,PA.NUS.ATLS,DEC alternative conversion factor (LCU per US$)
683,NY.TRF.NCTR.CD,Net secondary income (Net current transfers from abroad) (current US$)
684,NY.GSR.NFCY.KN,Net primary income (Net income from abroad) (constant LCU)
685,NY.GNS.ICTR.GN.ZS,Gross savings (% of GNI)
686,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)"
687,NY.GNP.PCAP.CN,GNI per capita (current LCU)
688,NY.GNP.MKTP.KN,GNI (constant LCU)
689,NY.GNP.MKTP.CN,GNI (current LCU)
690,NY.GDS.TOTL.ZS,Gross domestic savings (% of GDP)
691,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
